"BehaviorSpace results (NetLogo 6.2.0)"
"sir-dist.nlogo"
"variar DS"
"11/13/2025 19:02:48:688 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","POB","DS","TE","PC","WIG","S0","[step]","Emax","t-estrella"
"183","90","9","18","0.06","60","99","109","4622","40"
"184","90","9","18","0.06","60","99","107","4695","39"
"185","90","9","18","0.06","60","99","105","4493","43"
"186","90","9","18","0.06","60","99","114","4477","39"
"187","90","9","18","0.06","60","99","126","4479","43"
"191","90","9","18","0.06","60","99","105","4747","37"
"188","90","9","18","0.06","60","99","137","4289","41"
"189","90","9","18","0.06","60","99","115","4805","39"
"192","90","9","18","0.06","60","99","106","4576","39"
"190","90","9","18","0.06","60","99","133","4440","41"
"193","90","9","18","0.06","60","99","123","4543","39"
"194","90","9","18","0.06","60","99","119","4638","38"
"195","90","9","18","0.06","60","99","116","4556","39"
"198","90","9","18","0.06","60","99","103","4762","39"
"196","90","9","18","0.06","60","99","119","4510","40"
"197","90","9","18","0.06","60","99","113","4621","40"
"199","90","9","18","0.06","60","99","122","4544","39"
"200","90","9","18","0.06","60","99","100","4660","38"
"201","90","10","18","0.06","60","99","116","4512","42"
"202","90","10","18","0.06","60","99","113","4442","39"
"204","90","10","18","0.06","60","99","102","4411","40"
"203","90","10","18","0.06","60","99","119","4671","40"
"205","90","10","18","0.06","60","99","118","4648","38"
"206","90","10","18","0.06","60","99","124","4628","39"
"209","90","10","18","0.06","60","99","105","4445","39"
"210","90","10","18","0.06","60","99","110","4525","39"
"211","90","10","18","0.06","60","99","109","4464","40"
"208","90","10","18","0.06","60","99","119","4523","42"
"213","90","10","18","0.06","60","99","108","4619","39"
"212","90","10","18","0.06","60","99","123","4401","39"
"214","90","10","18","0.06","60","99","112","4545","40"
"207","90","10","18","0.06","60","99","138","4683","39"
"218","90","10","18","0.06","60","99","119","4769","38"
"215","90","10","18","0.06","60","99","113","4531","39"
"216","90","10","18","0.06","60","99","116","4512","38"
"217","90","10","18","0.06","60","99","114","4586","40"
"219","90","10","18","0.06","60","99","108","4418","41"
"220","90","10","18","0.06","60","99","112","4410","40"
"221","90","11","18","0.06","60","99","114","4400","41"
"222","90","11","18","0.06","60","99","114","4751","39"
"223","90","11","18","0.06","60","99","116","4686","39"
"224","90","11","18","0.06","60","99","118","4544","38"
"225","90","11","18","0.06","60","99","120","4509","39"
"226","90","11","18","0.06","60","99","126","4642","39"
"227","90","11","18","0.06","60","99","109","4611","39"
"228","90","11","18","0.06","60","99","117","4469","42"
"229","90","11","18","0.06","60","99","101","4336","39"
"233","90","11","18","0.06","60","99","101","4623","38"
"231","90","11","18","0.06","60","99","116","4381","45"
"235","90","11","18","0.06","60","99","104","4399","39"
"230","90","11","18","0.06","60","99","136","4616","41"
"236","90","11","18","0.06","60","99","116","4604","39"
"232","90","11","18","0.06","60","99","122","4483","40"
"234","90","11","18","0.06","60","99","127","4640","40"
"239","90","11","18","0.06","60","99","104","4617","38"
"237","90","11","18","0.06","60","99","129","4383","42"
"238","90","11","18","0.06","60","99","128","4389","41"
"241","90","12","18","0.06","60","99","102","4579","38"
"240","90","11","18","0.06","60","99","131","4503","41"
"242","90","12","18","0.06","60","99","121","4418","37"
"243","90","12","18","0.06","60","99","111","4752","37"
"247","90","12","18","0.06","60","99","128","4480","39"
"245","90","12","18","0.06","60","99","102","4676","37"
"246","90","12","18","0.06","60","99","128","4522","41"
"251","90","12","18","0.06","60","99","108","4457","43"
"248","90","12","18","0.06","60","99","121","4557","39"
"244","90","12","18","0.06","60","99","127","4300","40"
"250","90","12","18","0.06","60","99","116","4666","39"
"249","90","12","18","0.06","60","99","118","4445","39"
"254","90","12","18","0.06","60","99","111","4395","40"
"253","90","12","18","0.06","60","99","118","4503","40"
"255","90","12","18","0.06","60","99","118","4547","39"
"252","90","12","18","0.06","60","99","140","4453","39"
"256","90","12","18","0.06","60","99","115","4376","39"
"257","90","12","18","0.06","60","99","135","4607","38"
"261","90","13","18","0.06","60","99","100","4630","39"
"259","90","12","18","0.06","60","99","104","4631","37"
"260","90","12","18","0.06","60","99","112","4672","38"
"258","90","12","18","0.06","60","99","119","4530","39"
"266","90","13","18","0.06","60","99","107","4609","38"
"264","90","13","18","0.06","60","99","111","4567","38"
"263","90","13","18","0.06","60","99","114","4690","40"
"267","90","13","18","0.06","60","99","117","4525","42"
"265","90","13","18","0.06","60","99","113","4593","41"
"262","90","13","18","0.06","60","99","134","4408","40"
"268","90","13","18","0.06","60","99","118","4593","38"
"269","90","13","18","0.06","60","99","127","4383","41"
"270","90","13","18","0.06","60","99","118","4496","40"
"271","90","13","18","0.06","60","99","117","4443","42"
"272","90","13","18","0.06","60","99","110","4363","40"
"273","90","13","18","0.06","60","99","109","4456","41"
"276","90","13","18","0.06","60","99","114","4556","40"
"277","90","13","18","0.06","60","99","110","4596","39"
"275","90","13","18","0.06","60","99","120","4657","39"
"279","90","13","18","0.06","60","99","115","4636","39"
"281","90","14","18","0.06","60","99","118","4341","42"
"274","90","13","18","0.06","60","99","145","4607","39"
"282","90","14","18","0.06","60","99","115","4313","43"
"278","90","13","18","0.06","60","99","120","4587","40"
"280","90","13","18","0.06","60","99","119","4407","41"
"283","90","14","18","0.06","60","99","131","4450","39"
"285","90","14","18","0.06","60","99","131","4554","39"
"284","90","14","18","0.06","60","99","120","4545","40"
"286","90","14","18","0.06","60","99","127","4503","41"
"288","90","14","18","0.06","60","99","108","4729","36"
"291","90","14","18","0.06","60","99","115","4563","37"
"289","90","14","18","0.06","60","99","127","4571","39"
"287","90","14","18","0.06","60","99","126","4524","41"
"293","90","14","18","0.06","60","99","121","4551","39"
"294","90","14","18","0.06","60","99","119","4505","40"
"290","90","14","18","0.06","60","99","120","4446","39"
"295","90","14","18","0.06","60","99","104","4512","37"
"292","90","14","18","0.06","60","99","129","4548","41"
"297","90","14","18","0.06","60","99","116","4521","39"
"298","90","14","18","0.06","60","99","105","4653","38"
"296","90","14","18","0.06","60","99","153","4512","39"
"299","90","14","18","0.06","60","99","111","4571","39"
"300","90","14","18","0.06","60","99","119","4615","40"
"301","90","15","18","0.06","60","99","117","4410","42"
"302","90","15","18","0.06","60","99","116","4472","40"
"306","90","15","18","0.06","60","99","108","4494","44"
"305","90","15","18","0.06","60","99","113","4679","36"
"303","90","15","18","0.06","60","99","119","4340","43"
"309","90","15","18","0.06","60","99","112","4331","41"
"307","90","15","18","0.06","60","99","105","4585","38"
"304","90","15","18","0.06","60","99","108","4564","40"
"310","90","15","18","0.06","60","99","104","4591","38"
"308","90","15","18","0.06","60","99","129","4527","41"
"311","90","15","18","0.06","60","99","150","4591","39"
"313","90","15","18","0.06","60","99","105","4285","40"
"312","90","15","18","0.06","60","99","105","4479","40"
"314","90","15","18","0.06","60","99","124","4271","41"
"315","90","15","18","0.06","60","99","116","4468","39"
"316","90","15","18","0.06","60","99","107","4560","41"
"317","90","15","18","0.06","60","99","106","4523","40"
"319","90","15","18","0.06","60","99","111","4580","39"
"318","90","15","18","0.06","60","99","119","4455","40"
"320","90","15","18","0.06","60","99","110","4536","40"
"323","90","16","18","0.06","60","99","123","4160","44"
"321","90","16","18","0.06","60","99","121","4512","40"
"322","90","16","18","0.06","60","99","118","4651","40"
"324","90","16","18","0.06","60","99","108","4511","38"
"325","90","16","18","0.06","60","99","114","4520","41"
"328","90","16","18","0.06","60","99","110","4579","38"
"329","90","16","18","0.06","60","99","116","4262","43"
"330","90","16","18","0.06","60","99","116","4563","38"
"326","90","16","18","0.06","60","99","122","4456","39"
"331","90","16","18","0.06","60","99","120","4534","39"
"327","90","16","18","0.06","60","99","124","4453","41"
"333","90","16","18","0.06","60","99","109","4648","38"
"334","90","16","18","0.06","60","99","104","4379","39"
"332","90","16","18","0.06","60","99","122","4434","42"
"335","90","16","18","0.06","60","99","113","4409","39"
"336","90","16","18","0.06","60","99","114","4553","39"
"339","90","16","18","0.06","60","99","120","4390","40"
"340","90","16","18","0.06","60","99","116","4404","41"
"338","90","16","18","0.06","60","99","120","4446","41"
"337","90","16","18","0.06","60","99","125","4555","41"
"342","90","17","18","0.06","60","99","117","4328","43"
"341","90","17","18","0.06","60","99","115","4524","38"
"343","90","17","18","0.06","60","99","118","4557","39"
"347","90","17","18","0.06","60","99","105","4615","38"
"346","90","17","18","0.06","60","99","117","4553","39"
"344","90","17","18","0.06","60","99","131","4488","39"
"348","90","17","18","0.06","60","99","115","4388","38"
"345","90","17","18","0.06","60","99","109","4469","38"
"349","90","17","18","0.06","60","99","113","4488","38"
"352","90","17","18","0.06","60","99","117","4498","39"
"351","90","17","18","0.06","60","99","133","4557","38"
"353","90","17","18","0.06","60","99","115","4295","40"
"354","90","17","18","0.06","60","99","115","4345","40"
"350","90","17","18","0.06","60","99","131","4426","40"
"355","90","17","18","0.06","60","99","116","4608","40"
"360","90","17","18","0.06","60","99","112","4532","42"
"358","90","17","18","0.06","60","99","127","4458","39"
"356","90","17","18","0.06","60","99","135","4525","41"
"361","90","18","18","0.06","60","99","114","4258","42"
"359","90","17","18","0.06","60","99","111","4607","39"
"357","90","17","18","0.06","60","99","124","4522","41"
"363","90","18","18","0.06","60","99","106","4704","37"
"362","90","18","18","0.06","60","99","125","4290","40"
"364","90","18","18","0.06","60","99","105","4657","39"
"365","90","18","18","0.06","60","99","113","4578","40"
"369","90","18","18","0.06","60","99","107","4582","39"
"367","90","18","18","0.06","60","99","105","4240","40"
"366","90","18","18","0.06","60","99","120","4493","41"
"368","90","18","18","0.06","60","99","116","4466","40"
"370","90","18","18","0.06","60","99","111","4403","40"
"374","90","18","18","0.06","60","99","110","4509","38"
"373","90","18","18","0.06","60","99","116","4527","40"
"372","90","18","18","0.06","60","99","120","4352","41"
"376","90","18","18","0.06","60","99","110","4527","40"
"371","90","18","18","0.06","60","99","129","4120","40"
"375","90","18","18","0.06","60","99","120","4349","42"
"378","90","18","18","0.06","60","99","114","4407","38"
"377","90","18","18","0.06","60","99","119","4639","39"
"379","90","18","18","0.06","60","99","112","4629","41"
"380","90","18","18","0.06","60","99","113","4725","40"
"382","90","19","18","0.06","60","99","103","4431","39"
"388","90","19","18","0.06","60","99","111","4511","39"
"385","90","19","18","0.06","60","99","111","4521","40"
"384","90","19","18","0.06","60","99","121","4460","39"
"387","90","19","18","0.06","60","99","121","4520","41"
"381","90","19","18","0.06","60","99","142","4544","40"
"389","90","19","18","0.06","60","99","125","4557","39"
"383","90","19","18","0.06","60","99","126","4593","38"
"386","90","19","18","0.06","60","99","113","4540","39"
"390","90","19","18","0.06","60","99","126","4578","40"
"392","90","19","18","0.06","60","99","116","4569","39"
"391","90","19","18","0.06","60","99","116","4346","39"
"393","90","19","18","0.06","60","99","116","4524","39"
"396","90","19","18","0.06","60","99","122","4415","40"
"399","90","19","18","0.06","60","99","110","4554","40"
"395","90","19","18","0.06","60","99","110","4500","39"
"401","90","20","18","0.06","60","99","116","4537","41"
"394","90","19","18","0.06","60","99","118","4347","41"
"402","90","20","18","0.06","60","99","109","4401","40"
"398","90","19","18","0.06","60","99","111","4533","39"
"397","90","19","18","0.06","60","99","115","4532","41"
"400","90","19","18","0.06","60","99","116","4419","41"
"403","90","20","18","0.06","60","99","116","4627","37"
"404","90","20","18","0.06","60","99","110","4440","40"
"407","90","20","18","0.06","60","99","104","4621","40"
"409","90","20","18","0.06","60","99","115","4370","42"
"405","90","20","18","0.06","60","99","111","4549","39"
"406","90","20","18","0.06","60","99","122","4562","39"
"408","90","20","18","0.06","60","99","134","4400","38"
