"BehaviorSpace results (NetLogo 6.2.0)"
"sir-dist-dos.nlogo"
"variar DS dos"
"11/15/2025 09:04:40:424 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","199","0","199"
"[run number]","POB","DS","PC","TE","WIG","S0","[step]","Emax","t-estrella"
"166","90","16","0.09","30","15","99","271","3651","51"
"169","90","16","0.09","30","15","99","259","3774","48"
"167","90","16","0.09","30","15","99","248","3715","52"
"171","90","17","0.09","30","15","99","221","3847","48"
"172","90","17","0.09","30","15","99","253","4012","51"
"176","90","17","0.09","30","15","99","207","3946","51"
"174","90","17","0.09","30","15","99","208","3872","51"
"175","90","17","0.09","30","15","99","247","3890","46"
"177","90","17","0.09","30","15","99","183","3603","49"
"173","90","17","0.09","30","15","99","260","3382","53"
"179","90","17","0.09","30","15","99","201","3815","54"
"183","90","18","0.09","30","15","99","186","3817","52"
"181","90","18","0.09","30","15","99","196","3936","52"
"182","90","18","0.09","30","15","99","224","3495","50"
"180","90","17","0.09","30","15","99","260","3771","48"
"178","90","17","0.09","30","15","99","309","3888","53"
"186","90","18","0.09","30","15","99","217","4099","46"
"187","90","18","0.09","30","15","99","238","3750","49"
"184","90","18","0.09","30","15","99","267","3644","47"
"190","90","18","0.09","30","15","99","236","3913","50"
"185","90","18","0.09","30","15","99","267","3539","51"
"189","90","18","0.09","30","15","99","282","3885","52"
"192","90","19","0.09","30","15","99","228","3602","53"
"191","90","19","0.09","30","15","99","231","3877","51"
"188","90","18","0.09","30","15","99","271","3993","51"
"193","90","19","0.09","30","15","99","231","4075","51"
"197","90","19","0.09","30","15","99","177","4073","49"
"196","90","19","0.09","30","15","99","226","3615","52"
"199","90","19","0.09","30","15","99","201","3770","49"
"195","90","19","0.09","30","15","99","256","3505","53"
"194","90","19","0.09","30","15","99","270","3519","53"
"200","90","19","0.09","30","15","99","191","3864","51"
"201","90","20","0.09","30","15","99","225","3575","50"
"198","90","19","0.09","30","15","99","294","3742","50"
"204","90","20","0.09","30","15","99","219","4018","49"
"203","90","20","0.09","30","15","99","236","3829","49"
"202","90","20","0.09","30","15","99","250","3994","51"
"207","90","20","0.09","30","15","99","261","3861","49"
"209","90","20","0.09","30","15","99","197","4133","48"
"205","90","20","0.09","30","15","99","267","3972","53"
"208","90","20","0.09","30","15","99","267","3852","50"
"210","90","20","0.09","30","15","99","246","3903","51"
"206","90","20","0.09","30","15","99","289","3805","51"
"211","90","21","0.09","30","15","99","206","3865","51"
"216","90","21","0.09","30","15","99","191","3607","57"
"213","90","21","0.09","30","15","99","202","3699","49"
"215","90","21","0.09","30","15","99","235","3608","52"
"214","90","21","0.09","30","15","99","243","3873","50"
"217","90","21","0.09","30","15","99","214","3510","54"
"212","90","21","0.09","30","15","99","257","4039","49"
"219","90","21","0.09","30","15","99","228","3973","49"
"218","90","21","0.09","30","15","99","242","4112","47"
"222","90","22","0.09","30","15","99","206","3898","49"
"220","90","21","0.09","30","15","99","226","3899","53"
"223","90","22","0.09","30","15","99","196","3505","50"
"226","90","22","0.09","30","15","99","185","4186","48"
"221","90","22","0.09","30","15","99","223","3973","49"
"225","90","22","0.09","30","15","99","200","4113","50"
"230","90","22","0.09","30","15","99","201","3568","48"
"228","90","22","0.09","30","15","99","218","3907","49"
"224","90","22","0.09","30","15","99","257","3192","50"
"227","90","22","0.09","30","15","99","236","3954","55"
"229","90","22","0.09","30","15","99","303","3582","52"
"237","90","23","0.09","30","15","99","176","4056","47"
"234","90","23","0.09","30","15","99","233","3563","51"
"236","90","23","0.09","30","15","99","215","3794","52"
"233","90","23","0.09","30","15","99","212","3852","49"
"231","90","23","0.09","30","15","99","263","4003","51"
"235","90","23","0.09","30","15","99","224","3819","51"
"240","90","23","0.09","30","15","99","202","4009","48"
"232","90","23","0.09","30","15","99","369","3546","48"
"239","90","23","0.09","30","15","99","238","3832","48"
"241","90","24","0.09","30","15","99","229","3855","51"
"242","90","24","0.09","30","15","99","217","4111","49"
"244","90","24","0.09","30","15","99","221","3871","50"
"243","90","24","0.09","30","15","99","207","3793","51"
"238","90","23","0.09","30","15","99","309","3781","52"
"247","90","24","0.09","30","15","99","182","3861","52"
"250","90","24","0.09","30","15","99","194","3964","51"
"245","90","24","0.09","30","15","99","225","3480","50"
"246","90","24","0.09","30","15","99","225","3620","51"
"248","90","24","0.09","30","15","99","216","3551","50"
"252","90","25","0.09","30","15","99","196","3809","52"
"251","90","25","0.09","30","15","99","210","3866","54"
"249","90","24","0.09","30","15","99","250","3690","51"
"253","90","25","0.09","30","15","99","177","3882","50"
"254","90","25","0.09","30","15","99","233","4121","52"
"256","90","25","0.09","30","15","99","229","3865","50"
"255","90","25","0.09","30","15","99","191","3740","51"
"259","90","25","0.09","30","15","99","199","3782","50"
"258","90","25","0.09","30","15","99","215","3749","49"
"262","90","26","0.09","30","15","99","201","3779","52"
"261","90","26","0.09","30","15","99","236","3674","51"
"257","90","25","0.09","30","15","99","257","3688","51"
"265","90","26","0.09","30","15","99","195","3989","48"
"264","90","26","0.09","30","15","99","213","3848","49"
"260","90","25","0.09","30","15","99","278","3968","51"
"263","90","26","0.09","30","15","99","210","3968","51"
"266","90","26","0.09","30","15","99","187","4081","47"
"267","90","26","0.09","30","15","99","208","3359","53"
"268","90","26","0.09","30","15","99","247","3713","49"
"269","90","26","0.09","30","15","99","237","3110","58"
"271","90","27","0.09","30","15","99","227","3972","50"
"270","90","26","0.09","30","15","99","222","3981","52"
"276","90","27","0.09","30","15","99","194","3958","49"
"274","90","27","0.09","30","15","99","260","3461","55"
"273","90","27","0.09","30","15","99","250","3651","50"
"279","90","27","0.09","30","15","99","188","3742","53"
"277","90","27","0.09","30","15","99","247","3719","52"
"272","90","27","0.09","30","15","99","274","3654","52"
"281","90","28","0.09","30","15","99","211","3841","51"
"275","90","27","0.09","30","15","99","277","3708","48"
"280","90","27","0.09","30","15","99","234","3580","52"
"282","90","28","0.09","30","15","99","245","3658","50"
"284","90","28","0.09","30","15","99","216","3861","51"
"278","90","27","0.09","30","15","99","339","3472","52"
"283","90","28","0.09","30","15","99","249","3406","52"
"287","90","28","0.09","30","15","99","220","3952","54"
"286","90","28","0.09","30","15","99","240","3281","54"
"285","90","28","0.09","30","15","99","262","3605","54"
"288","90","28","0.09","30","15","99","256","3878","50"
"289","90","28","0.09","30","15","99","221","3603","52"
"290","90","28","0.09","30","15","99","261","3795","52"
"293","90","29","0.09","30","15","99","199","4084","50"
"294","90","29","0.09","30","15","99","191","3815","49"
"291","90","29","0.09","30","15","99","261","3709","48"
"295","90","29","0.09","30","15","99","228","3561","51"
"292","90","29","0.09","30","15","99","267","3724","52"
"298","90","29","0.09","30","15","99","202","3879","52"
"297","90","29","0.09","30","15","99","231","3684","50"
"296","90","29","0.09","30","15","99","253","3815","53"
"299","90","29","0.09","30","15","99","277","3599","51"
"304","90","30","0.09","30","15","99","213","3433","53"
"303","90","30","0.09","30","15","99","205","3411","50"
"301","90","30","0.09","30","15","99","216","3465","50"
"302","90","30","0.09","30","15","99","256","3926","46"
"300","90","29","0.09","30","15","99","307","3527","54"
"308","90","30","0.09","30","15","99","176","3719","49"
"305","90","30","0.09","30","15","99","194","3956","48"
"306","90","30","0.09","30","15","99","225","3385","52"
"312","90","31","0.09","30","15","99","223","3647","51"
"309","90","30","0.09","30","15","99","217","3620","48"
"307","90","30","0.09","30","15","99","253","3678","53"
"310","90","30","0.09","30","15","99","270","3891","50"
"311","90","31","0.09","30","15","99","267","3694","52"
"313","90","31","0.09","30","15","99","216","3618","51"
"314","90","31","0.09","30","15","99","263","3342","55"
"317","90","31","0.09","30","15","99","211","3799","49"
"318","90","31","0.09","30","15","99","238","3682","50"
"320","90","31","0.09","30","15","99","226","3617","53"
"325","90","32","0.09","30","15","99","201","3576","51"
"322","90","32","0.09","30","15","99","249","3455","51"
"326","90","32","0.09","30","15","99","198","3890","53"
