"BehaviorSpace results (NetLogo 6.2.0)"
"segregacion.nlogo"
"grafica"
"10/03/2025 10:32:26:182 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","74","0","74"
"[run number]","densidad","tamanio","similitud","[step]","ticks"
"298","90","75","15","11","11"
"301","90","75","16","11","11"
"302","90","75","16","8","8"
"305","90","75","16","6","6"
"308","90","75","16","7","7"
"303","90","75","16","9","9"
"309","90","75","16","7","7"
"307","90","75","16","7","7"
"299","90","75","15","12","12"
"306","90","75","16","10","10"
"310","90","75","16","7","7"
"312","90","75","16","8","8"
"313","90","75","16","7","7"
"318","90","75","16","7","7"
"315","90","75","16","7","7"
"319","90","75","16","6","6"
"316","90","75","16","7","7"
"320","90","75","16","7","7"
"311","90","75","16","10","10"
"314","90","75","16","10","10"
"321","90","75","17","9","9"
"324","90","75","17","7","7"
"322","90","75","17","11","11"
"323","90","75","17","9","9"
"317","90","75","16","11","11"
"325","90","75","17","7","7"
"328","90","75","17","6","6"
"326","90","75","17","8","8"
"330","90","75","17","6","6"
"327","90","75","17","9","9"
"332","90","75","17","6","6"
"329","90","75","17","9","9"
"335","90","75","17","6","6"
"333","90","75","17","8","8"
"331","90","75","17","11","11"
"337","90","75","17","9","9"
"336","90","75","17","10","10"
"334","90","75","17","8","8"
"340","90","75","17","9","9"
"339","90","75","17","9","9"
"341","90","75","18","11","11"
"343","90","75","18","10","10"
"342","90","75","18","9","9"
"344","90","75","18","7","7"
"345","90","75","18","7","7"
"346","90","75","18","10","10"
"349","90","75","18","7","7"
"338","90","75","17","14","14"
"347","90","75","18","9","9"
"348","90","75","18","9","9"
"352","90","75","18","10","10"
"350","90","75","18","10","10"
"353","90","75","18","11","11"
"354","90","75","18","9","9"
"351","90","75","18","11","11"
"359","90","75","18","7","7"
"358","90","75","18","7","7"
"356","90","75","18","7","7"
"362","90","75","19","6","6"
"361","90","75","19","6","6"
"363","90","75","19","8","8"
"360","90","75","18","10","10"
"355","90","75","18","14","14"
"357","90","75","18","11","11"
"367","90","75","19","7","7"
"365","90","75","19","10","10"
"364","90","75","19","11","11"
"368","90","75","19","7","7"
"366","90","75","19","11","11"
"371","90","75","19","7","7"
"370","90","75","19","8","8"
"372","90","75","19","8","8"
"376","90","75","19","7","7"
"369","90","75","19","10","10"
"375","90","75","19","7","7"
"374","90","75","19","8","8"
"373","90","75","19","10","10"
"379","90","75","19","6","6"
"378","90","75","19","9","9"
"380","90","75","19","9","9"
"382","90","75","20","8","8"
"377","90","75","19","9","9"
"384","90","75","20","6","6"
"388","90","75","20","7","7"
"383","90","75","20","8","8"
"381","90","75","20","10","10"
"387","90","75","20","10","10"
"385","90","75","20","10","10"
"389","90","75","20","8","8"
"386","90","75","20","12","12"
"391","90","75","20","8","8"
"392","90","75","20","11","11"
"393","90","75","20","11","11"
"395","90","75","20","7","7"
"390","90","75","20","12","12"
"394","90","75","20","11","11"
"400","90","75","20","7","7"
"396","90","75","20","10","10"
"403","90","75","21","8","8"
"404","90","75","21","7","7"
"397","90","75","20","9","9"
"398","90","75","20","8","8"
"401","90","75","21","8","8"
"399","90","75","20","9","9"
"402","90","75","21","9","9"
"405","90","75","21","7","7"
"407","90","75","21","6","6"
"409","90","75","21","7","7"
"411","90","75","21","8","8"
"410","90","75","21","10","10"
"412","90","75","21","9","9"
"408","90","75","21","11","11"
"406","90","75","21","13","13"
"413","90","75","21","9","9"
"417","90","75","21","6","6"
"414","90","75","21","9","9"
"415","90","75","21","9","9"
"416","90","75","21","8","8"
"420","90","75","21","6","6"
"418","90","75","21","8","8"
"421","90","75","22","9","9"
"419","90","75","21","10","10"
"424","90","75","22","7","7"
"423","90","75","22","8","8"
"422","90","75","22","9","9"
"426","90","75","22","10","10"
"430","90","75","22","6","6"
"427","90","75","22","9","9"
"434","90","75","22","6","6"
"428","90","75","22","9","9"
"429","90","75","22","10","10"
"431","90","75","22","9","9"
"436","90","75","22","6","6"
"425","90","75","22","14","14"
"433","90","75","22","11","11"
"432","90","75","22","9","9"
"435","90","75","22","11","11"
"440","90","75","22","6","6"
"437","90","75","22","9","9"
"438","90","75","22","9","9"
"439","90","75","22","10","10"
"441","90","75","23","9","9"
"445","90","75","23","6","6"
"442","90","75","23","10","10"
"444","90","75","23","9","9"
"448","90","75","23","8","8"
"446","90","75","23","10","10"
"447","90","75","23","9","9"
"443","90","75","23","11","11"
"451","90","75","23","7","7"
"449","90","75","23","8","8"
"453","90","75","23","8","8"
"450","90","75","23","11","11"
"455","90","75","23","8","8"
"452","90","75","23","11","11"
"456","90","75","23","9","9"
"458","90","75","23","7","7"
"457","90","75","23","11","11"
"454","90","75","23","13","13"
"460","90","75","23","9","9"
"462","90","75","24","7","7"
"463","90","75","24","7","7"
"461","90","75","24","9","9"
"468","90","75","24","7","7"
"466","90","75","24","9","9"
"464","90","75","24","10","10"
"459","90","75","23","14","14"
"473","90","75","24","6","6"
"467","90","75","24","11","11"
"472","90","75","24","9","9"
"471","90","75","24","9","9"
"465","90","75","24","10","10"
"469","90","75","24","9","9"
"475","90","75","24","6","6"
"478","90","75","24","8","8"
"470","90","75","24","14","14"
"477","90","75","24","9","9"
"481","90","75","25","7","7"
"474","90","75","24","11","11"
"476","90","75","24","10","10"
"480","90","75","24","8","8"
"482","90","75","25","7","7"
"479","90","75","24","8","8"
"483","90","75","25","10","10"
"486","90","75","25","7","7"
"484","90","75","25","10","10"
"487","90","75","25","9","9"
"485","90","75","25","12","12"
"488","90","75","25","8","8"
"491","90","75","25","9","9"
"492","90","75","25","9","9"
"495","90","75","25","8","8"
"490","90","75","25","10","10"
"494","90","75","25","9","9"
"493","90","75","25","10","10"
"497","90","75","25","11","11"
"499","90","75","25","11","11"
"498","90","75","25","10","10"
"496","90","75","25","10","10"
"489","90","75","25","17","17"
"500","90","75","25","9","9"
"506","90","75","26","16","16"
"501","90","75","26","18","18"
"502","90","75","26","19","19"
"503","90","75","26","19","19"
"505","90","75","26","17","17"
"509","90","75","26","18","18"
"510","90","75","26","16","16"
"507","90","75","26","18","18"
"513","90","75","26","15","15"
